KIND,NAME
110000,餐饮
110100,餐馆
110101,中餐馆
110102,异国风味
110103,地方风味与名店
110200,快餐
110300,休闲餐饮
110301,酒吧
110302,冷饮店
110303,咖啡馆
110304,茶楼、茶艺馆
120000,住、宿
120100,商业性住宿
120101,星级宾馆
120102,旅馆、招待所
120103,酒店式公寓
120104,普通出租公寓
120200,居民住宿
120201,小区
120202,住宅楼
130000,批发、零售
130100,综合零售
130101,小商品城
130102,百货商城、百货商店
130103,百货商店零售
130104,日杂店
130105,便利店
130106,超市
130200,烟酒副食、地方特产
130201,面包房
130202,农贸市场
130203,茶叶、茶具专卖店
130204,香烟/酒类专卖店
130205,地方土特产专卖店
130206,保健品专卖店
130207,副食专卖店
130300,母婴用品、儿童用品零售
130301,服装、鞋帽店
130302,眼镜店
130303,母婴用品、儿童用品
130304,化妆品专卖店
130400,文化、体育用品及器材零售
130401,体育用品店
130402,书店
130403,报刊亭
130404,音像店
130405,钟表，照相机专卖店
130406,珠宝首饰店
130407,工艺礼品
130408,古玩字画店
130409,乐器专卖店
130410,玩具店
130411,文化用品店
130500,医药及医疗器材零售
130501,药店
130502,医疗器械
130600,家用电器及电子产品零售
130601,电器零售
130602,电脑专卖店
130603,通信器材
130700,五金、家具及室内装修材料零售
130701,五金、机电、仪器仪表
130702,家具
130703,家装建材零售
130704,灯饰
130705,家居用品
130800,其他零售
130801,花卉专卖店
130803,宠物及宠物用品专卖店
130804,旧货市场
130805,自行车、电动车、摩托车销售
130806,丧葬用品
130807,宗教用品
130808,成人用品零售
140000,汽车销售及服务
140100,汽车及相关产品零售
140101,厂家推荐汽车零售
140103,汽车零配件零售
140104,汽车用品、汽车养护
140200,汽车维护与保养
140201,厂家推荐汽车修理
140202,机动车检测场
140300,汽车销售及服务
140301,厂家推荐汽车零售及修理
140302,汽车销售、汽车服务
140303,厂家推荐二手车交易
140304,二手车交易场所
150000,金融、保险
150100,金融服务
150101,代表
150102,ATM/自助银行
150103,证券公司｜营业部代表
150104,典当拍卖、贷款担保
150200,保险业
160000,教育、文化
160100,技术培训机构
160101,幼儿园/托儿所
160102,小学
160103,中学
160104,中专/职高/技校
160105,大专院校
160106,教学楼
160107,院/系
160108,学校报名处
160109,驾校
160110,考试中心
160200,文化、媒体
160201,报社、出版社、杂志社
160202,电台、电视台、电影制片厂
160203,图书馆
160204,资料馆、档案馆
160205,博物馆、纪念馆、展览馆、陈列馆
160206,美术馆
160207,科技馆
160208,文化馆、活动中心
160209,文工团、歌舞团、艺术团
170000,卫生、社保
170100,医疗机构
170101,综合医院
170102,专科医院
170103,私人诊所
170104,医院内部医疗设施
170105,急诊
170106,社区医疗
170107,牙科诊所
170108,防疫站
170109,体检机构
170110,献血屋
170200,社会保障机构
170201,福利院、敬老院
180000,运动、休闲
180100,体育场馆
180101,羽毛球场
180102,网球场
180103,保龄球馆
180104,滑雪场
180105,高尔夫球场
180106,高尔夫练习场
180107,赛马场
180109,垂钓
180110,溜冰场
180111,游泳馆
180200,休闲娱乐
180201,练歌房、KTV
180202,夜总会、歌舞厅、迪厅
180203,娱乐、健身
180204,棋牌室代表
180205,网吧
180208,彩票销售
180209,电影院
180210,剧场、戏院、音乐厅
180300,休闲度假
180301,农家乐/民俗游
180302,非星级渡假村、疗养院
180303,天然浴场
180304,公园
180306,广场
180307,游乐园
180308,动物园
180309,植物园
180310,水族馆
180400,风景名胜
180401,观光游览车站点
180402,景区服务点
190000,公共设施
190100,政府及管理机构
190101,国家级政府机关
190102,省级政府机关
190103,地级市级政府机关
190104,区级政府机关
190105,县级政府机关
190107,省/直辖市/自治区政府
190108,市县政府
190110,乡、镇政府
190111,行政办公大厅
190112,驻京、驻地方办事处
190113,村委会/居委会
190114,边检口岸
190200,公安机关
190201,公安局
190202,派出所
190203,交警队
190300,社会团体、协会
190301,协会
190302,行业性团体
190400,宗教
190401,寺庙、道观
190402,天主教
190403,基督教
190404,伊斯兰教
190500,其他外国办事机构
190501,外国大使馆/领事馆
190502,签证处
200000,商业设施、商务服务
200100,商业设施
200101,会议中心、展览中心
200102,培训中心
200103,大厦
200104,商务中心/会馆
200105,商业综合体
200200,租赁服务
200201,汽车租赁
200300,事务所
200400,法律、商务服务
200404,人才市场
200405,旅行社
210000,居民服务
210100,居家服务
210101,家政服务
210102,摩托车、自行车、电动车维护与保养
210103,家电维修
210104,送水站
210105,宠物医院
210200,个人服务
210201,洗衣店/干洗店
210202,服装定制
210203,皮草/鞋/包保养
210204,美容院、理发店
210206,美甲、纹身
210207,洗浴中心、SPA、足浴
210209,婚庆服务
210210,火葬场、殡仪馆
210211,陵园、公墓
210213,邮局
210214,照相、影楼、彩扩
210215,公共厕所
210216,房产中介
210217,办公服务
210218,货物自提点
210219,婚姻介绍所
210300,票、费服务
210301,电信
210302,票务中心｜定票处
210303,缴费营业厅
210304,风景名胜售票点
210400,其他服务
220000,公司企业
220100,公司
220200,厂矿企业
220300,工业园
220400,其他单位
230000,交通运输、仓储
230100,客货运输
230103,火车站
230105,火车站出发到达
230107,货运火车站
230108,客运汽车站
230111,地铁站出入口
230112,地铁站主点
230114,磁悬浮出入口
230125,港口、码头
230126,机场/候机楼
230127,到达/出发口
230128,机场到达/出发门
230129,机场城市候机楼
230130,物流、快运
230200,道路附属设施
230201,桥
230202,立交桥
230203,高速出口
230204,高速入口
230206,高速服务区
230207,高速停车区
230209,收费站
230211,室内停车场
230212,地上露天停车场
230213,公交换乘停车场
230214,货车停车场
230215,加油站
230216,加气站
230217,加油加气站
230218,电动汽车充电站
230219,超限超载检测站
230220,刹车失灵缓冲区
230221,刹车冷却区
230223,占道停车场
230224,地上非露天停车场
230225,地下停车场
230226,露营房车营地
230228,加水站
230229,紧急停车带
230230,普通道路服务区/停车区
240000,科研及技术服务
240100,科研机构
250000,农林牧渔业
250100,农林牧渔生产
250200,农林牧渔服务
260000,行政地名
260100,行政村
260101,自然村
260200,区、县、县级市
260300,地级市
270000,自然地名
270100,湖泊、水库、水系
270400,山、顶、洞、谷、沟
270500,岛屿
